Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean,Hypothesis family
mPLUG-Owl3-7B,MLVU-Dev Egocentric Reasoning,Uniform32,HDEA-Core32,3.125,2.4644252661512205,-1.8518518518518479,7.8378378378378315,0.8818,10000,1122,60.594313846970046,63.63032499610627,primary
mPLUG-Owl3-7B,MLVU-Dev NeedleQA,Uniform32,HDEA-Core32,6.197183098591552,1.6995671087040474,2.956989247311838,9.610404469672197,1.0,10000,1122,73.20124348319376,79.43403877348042,primary
mPLUG-Owl3-7B,MLVU-Dev Order,Uniform32,HDEA-Core32,10.810810810810807,3.306655344851469,4.182113434727503,17.307862190812717,0.9993,10000,1122,48.611327167080795,59.42270720988328,primary
mPLUG-Owl3-7B,MLVU-Dev PlotQA,Uniform32,HDEA-Core32,10.575139146567722,1.9302963814454988,6.810598911540003,14.34110430849362,1.0,10000,1122,65.31576990656693,75.87095015081292,primary
mPLUG-Owl3-7B,MLVU-Dev Topic Reasoning,Uniform32,HDEA-Core32,-5.3231939163498225,2.0941268293742197,-9.448818897637793,-1.2293827367012404,0.0042,10000,1122,85.93520896265399,80.6085287540889,primary
LLaVA-Video-7B,MLVU-Dev Micro accuracy,Uniform32,HDEA-Core32,6.2097516099356085,0.9270103314408854,4.398660942665742,8.020668897436467,1.0,10000,1122,64.21733525138912,70.4291401577504,primary
LLaVA-Video-7B,MLVU-Dev Anomaly Recognition,Uniform32,HDEA-Core32,0.5,2.3945153131446255,-4.102564102564102,5.366115919223713,0.5447,10000,1122,71.94224119911225,72.46552689656406,primary
LLaVA-Video-7B,MLVU-Dev Count,Uniform32,HDEA-Core32,5.339805825242717,3.5899291372511555,-1.5077280341099382,12.56281407035176,0.9277,10000,1122,30.042274988121697,35.46609389470635,primary
LLaVA-Video-7B,MLVU-Dev Egocentric Reasoning,Uniform32,HDEA-Core32,8.238636363636367,2.479723887554069,3.332908163265302,12.974683544303794,0.9994,10000,1122,57.14287676263911,65.34530185686624,primary
LLaVA-Video-7B,MLVU-Dev NeedleQA,Uniform32,HDEA-Core32,5.91549295774648,1.9305585149695732,2.1470751017804433,9.699059052563275,0.9985,10000,1122,73.81338279730296,79.71404596341567,primary
LLaVA-Video-7B,MLVU-Dev Order,Uniform32,HDEA-Core32,5.405405405405411,3.351347552665776,-1.2346954392408886,11.934156378600825,0.9413,10000,1122,56.04838497024683,61.41480085615284,primary
LLaVA-Video-7B,MLVU-Dev PlotQA,Uniform32,HDEA-Core32,12.615955473098325,1.847808610960533,9.008924496729371,16.274509803921575,1.0,10000,1122,66.40950957337499,79.02894919769221,primary
LLaVA-Video-7B,MLVU-Dev Topic Reasoning,Uniform32,HDEA-Core32,-3.4220532319391594,1.7700615487214644,-6.9343065693430646,0.0,0.0203,10000,1122,85.1914283484071,81.79637468487977,primary
