Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean,Scope
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,Full,0.0,0.941421898191556,-1.8587360594795541,1.8520239570425516,0.4243,10000,1122,87.82233439756712,87.83188301555325,Topic Reasoning
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,Full,0.45998160073597205,0.3526102868059897,-0.22842263801750776,1.1595653793834417,0.8938,10000,1122,75.23857302868461,75.70135295940383,Micro accuracy
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,Full,1.0,1.0125358326268676,-0.9805128948131009,3.07692307692308,0.7754,10000,1122,77.44536217620696,78.44580040960612,Anomaly Recognition
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,Full,-0.9708737864077648,0.6815341725637821,-2.487562189054728,0.0,0.0,10000,1122,55.30235267356083,54.335154377789216,Count
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,Full,-0.2840909090909207,1.113666560622649,-2.4768441521889315,1.9390581717451454,0.35,10000,1122,69.28053281086594,69.00367726786507,Egocentric Reasoning
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,Full,0.0,0.3971355573857689,-0.8333333333333286,0.8152173913043583,0.3527,10000,1122,80.26516506731875,80.2690620133806,NeedleQA
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,Full,3.0888030888030755,1.4410868860575596,0.3816793893129784,5.952380952380949,0.983,10000,1122,64.46592106391982,67.55209795946779,Order
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,Full,0.5565862708719891,0.7167019020247359,-0.8405141717704139,1.9784172661870514,0.746,10000,1122,81.63110572638676,82.19512805327506,PlotQA
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,Full,0.0,0.9315262109787742,-1.860595279416872,1.8450184501844973,0.4126,10000,1122,87.83792030877925,87.83211935630862,Topic Reasoning
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,Full,0.04599816007359436,0.41740955327998336,-0.7640878701050582,0.887446144914365,0.5241,10000,1122,75.66294680725487,75.71243254683532,Micro accuracy
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,Full,0.0,1.5872373375021032,-3.158312447786122,3.0612244897959187,0.4375,10000,1122,78.46884692154634,78.46064034397256,Anomaly Recognition
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,Full,-1.9417475728155367,1.6756379265322339,-5.2631578947368425,1.415094339622641,0.0973,10000,1122,56.33216906581405,54.42070539823824,Count
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,Full,-0.2840909090909207,1.199105833439569,-2.6143790849673114,2.083333333333329,0.3584,10000,1122,69.30181722696898,69.0299300746683,Egocentric Reasoning
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,Full,-0.5633802816901436,0.7020307739250624,-1.9718309859154886,0.8130633616118756,0.1482,10000,1122,80.83061499367929,80.26152659660438,NeedleQA
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,Full,1.1583011583011569,1.601134216531032,-1.9607843137254832,4.3137960220059295,0.7309,10000,1122,66.4222340109868,67.58297049034309,Order
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,Full,0.9276437847866532,0.6709171773716286,-0.3717645185631426,2.260908912059806,0.8958,10000,1122,81.25608331378139,82.18398175328167,PlotQA
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,Full,0.0,0.9340180340375595,-1.8315018315018392,1.8587360594795541,0.4164,10000,1122,87.83149205693289,87.8374880644823,Topic Reasoning
InternVL3-8B,MLVU-Dev M-AVG,Core32,E40,0.32198712051517475,0.4726106388539406,-0.6287050664415442,1.2267220978751943,0.7323,10000,1122,74.66652540862744,74.98023337585754,Micro accuracy
InternVL3-8B,MLVU-Dev M-AVG,Core32,E40,1.5,1.3157172175667018,-1.025641025641022,4.123711340206185,0.8315,10000,1122,76.48560224935419,77.98089950158075,Anomaly Recognition
InternVL3-8B,MLVU-Dev M-AVG,Core32,E40,-2.427184466019419,2.232293436885761,-6.770833333333336,1.932601660334879,0.1117,10000,1122,53.409232273125895,50.95644453238929,Count
InternVL3-8B,MLVU-Dev M-AVG,Core32,E40,-0.5681818181818272,1.1991745839812546,-3.0219953220583013,1.6557321865296304,0.2884,10000,1122,68.77321049612141,68.20913783245638,Egocentric Reasoning
InternVL3-8B,MLVU-Dev M-AVG,Core32,E40,1.1267605633802873,0.8030081751095437,-0.28901734104046284,2.842407876850722,0.9048,10000,1122,82.55361051539731,83.69035000224893,NeedleQA
InternVL3-8B,MLVU-Dev M-AVG,Core32,E40,1.5444015444015378,1.9125392697747126,-2.255639097744364,5.281690140845065,0.7566,10000,1122,60.27254695714831,61.782593804742696,Order
InternVL3-8B,MLVU-Dev M-AVG,Core32,E40,0.5565862708719749,0.7669146873864253,-0.9311421245726734,2.040816326530603,0.7275,10000,1122,81.46006014998632,82.0100780559546,PlotQA
InternVL3-8B,MLVU-Dev M-AVG,Core32,E40,0.0,0.9305554327272934,-1.8518518518518476,1.838235294117652,0.4153,10000,1122,87.43238927712697,87.43405845627804,Topic Reasoning
InternVL3-8B,MLVU-Dev M-AVG,Core32,E48,0.6899724011039439,0.5519766628267433,-0.3754150115773626,1.7794163310892877,0.889,10000,1122,74.63574768582073,75.33521348390204,Micro accuracy
InternVL3-8B,MLVU-Dev M-AVG,Core32,E48,2.0,1.591348897595726,-1.0256410256410362,5.213270142180093,0.8699,10000,1122,76.48874990488768,78.50242844329533,Anomaly Recognition
InternVL3-8B,MLVU-Dev M-AVG,Core32,E48,-1.9417475728155367,2.3751550481082555,-6.704582079931244,2.617801047120416,0.173,10000,1122,53.3457303261898,51.404596683741275,Count
InternVL3-8B,MLVU-Dev M-AVG,Core32,E48,-0.5681818181818272,1.4735015717113609,-3.5040431266846355,2.2792022792022806,0.3155,10000,1122,68.731455797864,68.1685027811357,Egocentric Reasoning
InternVL3-8B,MLVU-Dev M-AVG,Core32,E48,0.0,1.0637698022009883,-2.0619316972295643,2.1390783168980554,0.4465,10000,1122,82.52456268665661,82.53366930509969,NeedleQA
InternVL3-8B,MLVU-Dev M-AVG,Core32,E48,3.4749034749034635,2.127482244462544,-0.42395810404284934,7.755102040816325,0.9432,10000,1122,60.17382314151765,63.71257680391545,Order
InternVL3-8B,MLVU-Dev M-AVG,Core32,E48,0.742115027829314,0.9434350572959912,-1.1215478315656855,2.60223048327137,0.7592,10000,1122,81.47610539042167,82.22087992557456,PlotQA
InternVL3-8B,MLVU-Dev M-AVG,Core32,E48,1.5209125475285106,1.1992555714923083,-0.7662835249042104,3.9682539682539613,0.8703,10000,1122,87.4258006886548,88.95703305621986,Topic Reasoning
InternVL3-8B,MLVU-Dev M-AVG,Core32,Full,0.5979760809567551,0.3871776880052976,-0.1392887460508344,1.3570531700675637,0.932,10000,1122,74.64425792012231,75.24434890202348,Micro accuracy
InternVL3-8B,MLVU-Dev M-AVG,Core32,Full,1.0,1.4126359693173927,-1.5625,3.8834951456310596,0.7025,10000,1122,76.53537877339691,77.5493813687105,Anomaly Recognition
InternVL3-8B,MLVU-Dev M-AVG,Core32,Full,-0.9708737864077648,1.8309176957165798,-4.568527918781726,2.551020408163268,0.2445,10000,1122,53.44088018522153,52.43502289531723,Count
InternVL3-8B,MLVU-Dev M-AVG,Core32,Full,0.2840909090909065,0.8447470739154853,-1.3422818791946303,1.9718309859154886,0.5682,10000,1122,68.7346020675285,69.02961054702227,Egocentric Reasoning
