Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean
InternVL3-8B,MLVU-Dev M-AVG,E40,Full,0.35541730984952835,0.3736036602333696,-0.37024508065986056,1.0925266850820454,0.8293,10000,1122,73.15414742755772,73.50825582294152
InternVL3-8B,MLVU-Dev M-AVG,E48,Full,-0.14395691369497854,0.44555987661089635,-1.0285456770449293,0.7240540901383908,0.3704,10000,1122,73.65426291527689,73.50744817120298
mPLUG-Owl3-7B,VideoMME,Core32,E40,0.8518518518518476,0.5334627616301285,-0.18518518518519045,1.8888888888888928,0.9402,10000,900,55.258518518518514,56.10415185185185
mPLUG-Owl3-7B,VideoMME,Core32,E48,1.5925925925925881,0.5763266051093231,0.44444444444444287,2.7037037037037024,0.9976,10000,900,55.258870370370374,56.84855925925926
mPLUG-Owl3-7B,VideoMME,Core32,Full,0.7037037037036953,0.44831516091285323,-0.18518518518518334,1.5925925925925881,0.9371,10000,900,55.27084444444445,55.97311111111111
mPLUG-Owl3-7B,VideoMME,E40,Full,-0.14814814814815236,0.3496063696051603,-0.8518518518518476,0.518518518518519,0.3244,10000,900,56.113307407407405,55.96994074074074
mPLUG-Owl3-7B,VideoMME,E48,Full,-0.8888888888888928,0.40004895327184037,-1.6666666666666714,-0.11111111111110716,0.0125,10000,900,56.85862962962963,55.968503703703696
mPLUG-Owl3-7B,LongVideoBench,Core32,E40,0.8227374719521308,0.6037270536592213,-0.30282390011938937,2.031602708803611,0.9051,10000,753,57.80139881850389,58.63717569084007
mPLUG-Owl3-7B,LongVideoBench,Core32,E48,0.5235602094240903,0.6492620965654249,-0.7375313599234912,1.8264840182648427,0.7758,10000,753,57.836521653906125,58.36660992288195
mPLUG-Owl3-7B,LongVideoBench,Core32,Full,0.5235602094240903,0.4927557038345862,-0.4470938897168395,1.5003750937734424,0.8432,10000,753,57.8293822835197,58.354942527238116
mPLUG-Owl3-7B,LongVideoBench,E40,Full,-0.29917726252804044,0.45082234909990915,-1.1817057340709005,0.5939123979213008,0.2275,10000,753,58.61818885234215,58.31626866649989
mPLUG-Owl3-7B,LongVideoBench,E48,Full,0.0,0.47262451987219767,-0.9188361408882033,0.9084371604896404,0.4704,10000,753,58.339683918729214,58.342024172340274
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E40,0.7459645567857791,0.6247518788801809,-0.4930225378528359,1.9950583694486994,0.8864,10000,1122,64.15228819311314,64.8972327136739
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E48,0.6771793283924126,0.7108236244638544,-0.7058255596755216,2.070002838393226,0.8274,10000,1122,64.15903387649736,64.83682593059557
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,Full,1.0637604835374646,0.5423848819232109,0.031136578717500335,2.1423805050553684,0.9787,10000,1122,64.16842318219986,65.23310056483027
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,Full,0.31779592675168544,0.36292745523590225,-0.39499418690286064,1.0175369978401283,0.8077,10000,1122,64.9048468051794,65.22275108163704
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,Full,0.386581155145052,0.4935955263414717,-0.5901052007160883,1.349119858999114,0.7874,10000,1122,64.82953614611819,65.22093811189498
